Brand Name,Rating,MRP,Ram_size,Ram_type,Operating system,Disk_type,Disk_size
6,4.3,58000,4,0,0,1,4
2,4.3,114990,1,4,1,1,1
5,4.3,33990,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
2,4.4,64990,1,0,1,1,1
6,4.3,79990,1,0,1,1,1
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
2,4.5,56990,4,0,1,1,4
5,4.7,81990,1,0,1,1,1
7,4.5,129990,1,0,0,1,1
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
3,4.0,38990,4,0,0,0,4
5,4.5,79990,1,0,0,0,1
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
2,4.1,109990,1,1,1,1,1
2,4.3,154990,1,1,1,1,1
6,4.2,62990,1,0,1,1,1
2,4.3,194990,1,1,1,1,1
6,4.3,44990,4,0,1,1,4
2,4.4,47990,4,0,1,1,4
3,4.6,43667,4,0,1,1,4
2,4.5,135990,1,1,1,1,1
6,4.2,36990,4,0,1,1,4
2,4.4,98990,1,1,1,1,1
2,4.3,35990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
2,4.3,109990,1,1,1,1,1
3,4.3,74770,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
5,4.3,40799,4,0,1,1,4
2,4.5,69490,1,0,0,1,1
2,4.2,39990,4,0,1,1,4
6,4.2,38705,4,0,1,1,4
2,4.8,99990,1,4,1,1,1
0,3.9,40990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
5,4.4,60390,4,0,0,1,4
5,4.4,69990,4,0,0,0,4
2,4.0,44990,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
2,4.7,44990,4,0,1,1,4
5,4.4,60390,4,0,0,1,4
2,4.5,69490,1,0,0,1,1
5,4.3,40799,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
5,4.3,55990,1,0,1,1,1
2,4.3,196990,1,1,1,1,1
6,4.2,38705,4,0,1,1,4
5,4.4,69990,4,0,0,0,4
2,4.0,44990,4,0,1,1,4
2,4.5,59990,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
6,4.2,35590,4,0,1,1,4
3,4.3,74770,4,0,1,1,4
2,4.3,109990,1,1,1,1,1
2,4.9,150990,1,0,1,1,1
6,4.2,36990,4,0,1,1,4
0,4.3,62990,4,0,1,1,4
0,3.9,40990,4,0,1,1,4
7,4.5,58499,4,0,0,1,4
6,4.3,65990,4,0,0,0,4
6,4.2,36990,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
3,4.0,111990,1,1,1,1,1
6,4.3,68490,1,0,1,1,1
2,4.3,196990,1,1,1,1,1
6,4.2,38705,4,0,1,1,4
2,4.3,83990,4,0,0,0,4
0,4.3,54990,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
6,4.2,35590,4,0,1,1,4
3,3.9,63090,4,0,0,1,4
2,4.9,150990,1,0,1,1,1
6,4.2,39990,4,0,1,1,4
7,4.3,200000,1,1,1,1,1
6,4.3,37390,4,0,1,1,4
3,4.1,43090,4,0,0,1,4
2,4.3,194990,1,1,1,1,1
6,4.3,44990,4,0,1,1,4
6,4.1,44700,3,0,0,1,3
5,4.4,41150,4,0,0,1,4
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
2,4.3,33990,4,0,1,1,4
7,4.3,190890,1,1,1,1,1
2,4.3,174990,1,4,1,1,1
5,3.5,118990,1,0,1,1,1
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
2,4.5,63980,1,0,1,1,1
0,4.4,54300,4,0,1,1,4
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
3,4.2,36400,4,0,1,1,4
2,4.3,28590,3,0,0,1,3
3,4.3,69999,1,0,1,1,1
2,5.0,301990,2,1,1,1,2
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
6,4.3,37000,4,0,1,1,4
6,4.2,64990,1,0,0,1,1
6,4.5,73490,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
3,4.3,42690,4,0,1,1,4
2,5.0,140990,1,1,1,1,1
6,4.3,38990,3,0,0,1,3
0,4.3,54999,4,0,1,1,4
6,4.2,36990,4,0,1,1,4
0,4.1,60130,4,0,0,0,4
0,4.3,29490,4,0,1,1,4
3,4.1,72490,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
4,4.3,73990,1,0,1,1,1
0,4.0,47130,4,0,0,0,4
6,4.4,55600,4,0,0,1,4
10,4.1,39990,4,0,1,1,4
3,4.4,49690,4,0,0,1,4
2,4.3,239990,2,1,1,1,2
7,4.5,73990,1,0,0,1,1
6,4.2,38705,4,0,1,1,4
5,4.4,52490,4,0,0,1,4
5,4.3,41990,4,0,1,1,4
2,4.3,29990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
8,4.4,50490,4,0,0,1,4
0,4.4,96490,1,0,0,0,1
2,4.6,85990,1,0,1,1,1
2,4.2,51990,4,0,0,1,4
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
2,4.3,71345,4,0,0,0,4
2,4.5,101490,1,0,0,1,1
7,4.3,274990,2,1,1,1,2
2,4.3,199990,1,1,1,1,1
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
3,3.9,41090,4,0,0,1,4
6,4.3,50499,4,0,0,1,4
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
5,4.3,78950,4,0,1,1,4
2,4.0,187990,1,0,1,1,1
6,4.2,102990,1,0,0,1,1
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
5,4.4,52575,4,0,0,1,4
6,4.5,73490,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
3,4.0,50990,4,0,1,1,4
6,4.3,60125,1,0,0,1,1
6,3.9,26490,3,0,0,1,3
5,4.3,80249,4,0,1,1,4
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
0,4.5,129999,0,0,0,1,0
2,4.3,76990,4,0,0,1,4
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
2,4.2,36990,4,0,0,1,4
7,4.6,107790,1,0,0,1,1
3,4.2,75990,1,0,1,1,1
